stagnation_k,mean_fitness,std_fitness,best_fitness,mean_generations,mean_time_s
5,0.02683617,0.01998865,-0.00267236,19.2,63.31
10,0.00772504,0.011764,-0.00557009,41.2,137.05
20,0.00772504,0.011764,-0.00557009,51.2,171.23
30,0.00768976,0.01181399,-0.00574645,65.8,223.59
50,0.00768976,0.01181399,-0.00574645,85.8,645.41
200,0.0076442,0.01185938,-0.00574645,200,1337.88
