objective_version,instance_signature,population_size,mutation_rate,stagnation_k,seed,fitness,generations,elapsed_s
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,165,0.07287259612613146,36,42,0.028563165760,76,200.638
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,165,0.07287259612613146,36,99,0.012861081024,67,177.251
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.07223116272206084,38,0,-0.001156003607,99,265.049
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.07223116272206084,38,42,0.016170508075,91,241.570
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,162,0.07223116272206084,38,99,0.017699940635,61,157.329
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,151,0.0711903572720976,42,0,0.031346453517,82,197.829
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,151,0.0711903572720976,42,42,0.045316807611,78,187.890
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,151,0.0711903572720976,42,99,0.025700752957,63,151.294
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07135561528166659,51,0,-0.007845746958,98,258.397
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07135561528166659,51,42,0.024870941458,121,314.810
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,160,0.07135561528166659,51,99,0.020002817240,134,349.162
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,157,0.05143644849975833,40,0,0.011723727244,95,241.947
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,157,0.05143644849975833,40,42,0.036135463312,81,202.933
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,157,0.05143644849975833,40,99,0.018366178511,65,162.075
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,166,0.08537099938734374,50,0,0.017455787950,120,323.891
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,166,0.08537099938734374,50,42,0.011915540961,114,310.480
normalised_v2_l1_l2_finishing,Inputs_EmpresaX.xlsx:56099:1781352793658301500,166,0.08537099938734374,50,99,0.016429007411,104,276.648
