number,value,datetime_start,datetime_complete,duration,params_mutation_rate,params_population_size,params_stagnation_k,user_attrs_best_fitness,user_attrs_completed_seed_runs,user_attrs_june_new_algo_30trials_seed_42_fitness,user_attrs_june_new_algo_30trials_seed_43_fitness,user_attrs_june_new_algo_30trials_seed_44_fitness,user_attrs_mean_fitness,user_attrs_mean_june_new_algo_30trials_fitness,user_attrs_std_fitness,user_attrs_worst_fitness,state
10,-0.2416364353713291,2026-07-09 11:43:15.727393,2026-07-09 12:02:03.388781,0 days 00:18:47.661388,0.10294156519549189,241,59,-0.2458689650545688,3,-0.2458689650545688,-0.2383560379744778,-0.24068430308494076,-0.2416364353713291,-0.2416364353713291,0.0031401629730295286,-0.2383560379744778,COMPLETE
11,-0.24407526174531388,2026-07-09 12:02:03.445591,2026-07-09 12:11:22.272406,0 days 00:09:18.826815,0.14860945564304212,119,50,-0.2537925677834118,3,-0.24369173190694293,-0.2537925677834118,-0.23474148554558685,-0.24407526174531388,-0.24407526174531388,0.007782298501975834,-0.23474148554558685,COMPLETE
12,-0.2420295358531751,2026-07-09 12:11:22.328444,2026-07-09 12:19:40.148743,0 days 00:08:17.820299,0.1190516235903358,107,27,-0.2516542479088888,3,-0.2392624402865817,-0.2516542479088888,-0.2351719193640548,-0.2420295358531751,-0.2420295358531751,0.007007586459019875,-0.2351719193640548,COMPLETE
13,-0.24817865937783182,2026-07-09 12:19:40.205721,2026-07-09 12:33:25.909558,0 days 00:13:45.703837,0.1494239158538795,177,49,-0.25191575205052086,3,-0.24297450988463196,-0.25191575205052086,-0.24964571619834267,-0.24817865937783182,-0.24817865937783182,0.0037947898187930375,-0.24297450988463196,COMPLETE
14,-0.24173792318152287,2026-07-09 12:33:25.965785,2026-07-09 12:47:43.596720,0 days 00:14:17.630935,0.0849873969649686,182,27,-0.2488841153939897,3,-0.2316389184235648,-0.2488841153939897,-0.2446907357270141,-0.24173792318152287,-0.24173792318152287,0.007343411154851487,-0.2316389184235648,COMPLETE
15,-0.2448805111202188,2026-07-09 12:47:43.653139,2026-07-09 13:03:54.423910,0 days 00:16:10.770771,0.1260541770289783,206,50,-0.2565734287271287,3,-0.23278778208271633,-0.24528032255081145,-0.2565734287271287,-0.2448805111202188,-0.2448805111202188,0.009714564099269903,-0.23278778208271633,COMPLETE
16,-0.23565218455376694,2026-07-09 13:03:54.480635,2026-07-09 13:15:55.061881,0 days 00:12:00.581246,0.10525531702008714,152,33,-0.24384256449116476,3,-0.23500237961846726,-0.24384256449116476,-0.22811160955166884,-0.23565218455376694,-0.23565218455376694,0.006438551631517119,-0.22811160955166884,COMPLETE
17,-0.23900217306875216,2026-07-09 13:15:55.118908,2026-07-09 13:28:10.661624,0 days 00:12:15.542716,0.0756187306442979,158,20,-0.24298241527707617,3,-0.23189986114230993,-0.24212424278687034,-0.24298241527707617,-0.23900217306875216,-0.23900217306875216,0.005034298430506417,-0.23189986114230993,COMPLETE
18,-0.24081540799243395,2026-07-09 13:28:10.719545,2026-07-09 13:46:51.820400,0 days 00:18:41.100855,0.1154514151637061,242,10,-0.24576461611858,3,-0.24576461611858,-0.23491396891850935,-0.2417676389402125,-0.24081540799243395,-0.24081540799243395,0.0044806393887874725,-0.23491396891850935,COMPLETE
19,-0.24533287754748914,2026-07-09 13:46:51.878487,2026-07-09 13:54:41.670674,0 days 00:07:49.792187,0.13981393452310426,100,45,-0.24595345021940931,3,-0.24570758297812542,-0.24433759944493275,-0.24595345021940931,-0.24533287754748914,-0.24533287754748914,0.0007108898419846124,-0.24433759944493275,COMPLETE
20,-0.24797022083000328,2026-07-09 13:54:41.737683,2026-07-09 14:11:28.427133,0 days 00:16:46.689450,0.13198851488113686,212,55,-0.2543818314071459,3,-0.2522180994049875,-0.23731073167787636,-0.2543818314071459,-0.24797022083000328,-0.24797022083000328,0.007588981740326966,-0.23731073167787636,COMPLETE
21,-0.24972502481583728,2026-07-09 14:11:28.484564,2026-07-09 14:29:42.921841,0 days 00:18:14.437277,0.13289048674160472,223,54,-0.2506027729389692,3,-0.2494890913333339,-0.2506027729389692,-0.24908321017520874,-0.24972502481583728,-0.24972502481583728,0.0006423997739603533,-0.24908321017520874,COMPLETE
22,-0.24558779382436105,2026-07-09 14:29:42.982132,2026-07-09 14:47:33.700364,0 days 00:17:50.718232,0.11084165103665918,228,54,-0.24673562948337047,3,-0.24376352553301256,-0.2462642264567001,-0.24673562948337047,-0.24558779382436105,-0.24558779382436105,0.0013042293516359583,-0.24376352553301256,COMPLETE
23,-0.24905240002059706,2026-07-09 14:47:33.762849,2026-07-09 15:02:47.122781,0 days 00:15:13.359932,0.1498981507657652,193,55,-0.2572921669166931,3,-0.2386793298239992,-0.2511857033210989,-0.2572921669166931,-0.24905240002059706,-0.24905240002059706,0.007746941907993524,-0.2386793298239992,COMPLETE
24,-0.24717057660498187,2026-07-09 15:02:47.188607,2026-07-09 15:18:48.826516,0 days 00:16:01.637909,0.12498220244875777,193,42,-0.26019844752268917,3,-0.2349637479248174,-0.24634953436743912,-0.26019844752268917,-0.24717057660498187,-0.24717057660498187,0.010318368692630293,-0.2349637479248174,COMPLETE
25,-0.25275243521768076,2026-07-09 15:18:48.889991,2026-07-09 15:37:01.328224,0 days 00:18:12.438233,0.13573429732267314,229,53,-0.259510932568018,3,-0.259510932568018,-0.25278089524474134,-0.24596547784028294,-0.25275243521768076,-0.25275243521768076,0.005529945353867142,-0.24596547784028294,COMPLETE
26,-0.2528022998722747,2026-07-09 15:37:01.411879,2026-07-09 15:54:48.098701,0 days 00:17:46.686822,0.13675366753433008,227,53,-0.2574084280577998,3,-0.25501059063199394,-0.24598788092703044,-0.2574084280577998,-0.2528022998722747,-0.2528022998722747,0.004916952664074699,-0.24598788092703044,COMPLETE
